polygonName,polygonPoints,description,size,JSON
Morovnianska 47,18.753823;48.734551;436-18.754008;48.734541;435-18.754228;48.734565;433-18.754383;48.734581;432-18.754383;48.734647;431-18.754405;48.734693;431-18.754332;48.734776;429-18.754279;48.734859;428-18.754201;48.734985;427-18.754171;48.735036;426-18.754129;48.73502;426-18.754059;48.735045;427-18.754027;48.735096;426-18.753941;48.735008;427-18.75393;48.734963;428-18.753933;48.734799;430-18.753836;48.734592;436,,1603,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.753823,48.734551,436], [18.754008,48.734541,435], [18.754228,48.734565,433], [18.754383,48.734581,432], [18.754383,48.734647,431], [18.754405,48.734693,431], [18.754332,48.734776,429], [18.754279,48.734859,428], [18.754201,48.734985,427], [18.754171,48.735036,426], [18.754129,48.73502,426], [18.754059,48.735045,427], [18.754027,48.735096,426], [18.753941,48.735008,427], [18.75393,48.734963,428], [18.753933,48.734799,430], [18.753836,48.734592,436] ]]}"
Morovnianska 53,18.753268;48.735547;424-18.753182;48.735547;424-18.752981;48.735392;426-18.752927;48.735333;428-18.752908;48.73528;430-18.753032;48.735223;429-18.752932;48.73514;431-18.752686;48.735025;434-18.752653;48.735015;434-18.752605;48.734958;436-18.752763;48.734882;437-18.753061;48.734797;436-18.753498;48.73519;427-18.753407;48.735248;427-18.753142;48.735399;425-18.753107;48.735418;426-18.753209;48.735507;424,,2281,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.753268,48.735547,424], [18.753182,48.735547,424], [18.752981,48.735392,426], [18.752927,48.735333,428], [18.752908,48.73528,430], [18.753032,48.735223,429], [18.752932,48.73514,431], [18.752686,48.735025,434], [18.752653,48.735015,434], [18.752605,48.734958,436], [18.752763,48.734882,437], [18.753061,48.734797,436], [18.753498,48.73519,427], [18.753407,48.735248,427], [18.753142,48.735399,425], [18.753107,48.735418,426], [18.753209,48.735507,424] ]]}"
Morovnianska lesopark,18.754388;48.73458;432-18.754417;48.734529;434-18.754463;48.734474;435-18.754481;48.734428;437-18.754444;48.734329;439-18.754409;48.734286;439-18.754361;48.734221;442-18.754296;48.734198;442-18.754176;48.734231;442-18.754052;48.734307;441-18.754015;48.734369;439-18.75394;48.734468;437-18.753878;48.734529;436-18.754009;48.734523;437-18.754232;48.734548;433-18.754374;48.734562;432,,1127,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.754388,48.73458,432], [18.754417,48.734529,434], [18.754463,48.734474,435], [18.754481,48.734428,437], [18.754444,48.734329,439], [18.754409,48.734286,439], [18.754361,48.734221,442], [18.754296,48.734198,442], [18.754176,48.734231,442], [18.754052,48.734307,441], [18.754015,48.734369,439], [18.75394,48.734468,437], [18.753878,48.734529,436], [18.754009,48.734523,437], [18.754232,48.734548,433], [18.754374,48.734562,432] ]]}"
Morovnianska vencovisko 3,18.755459;48.734998;427-18.75558;48.734984;427-18.755875;48.734998;429-18.756121;48.735017;431-18.756344;48.735037;433-18.756462;48.735049;433-18.756457;48.734996;435-18.756261;48.734976;434-18.756036;48.734964;434-18.755786;48.734955;432-18.755569;48.734946;430-18.755448;48.734962;429,,362,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.755459,48.734998,427], [18.75558,48.734984,427], [18.755875,48.734998,429], [18.756121,48.735017,431], [18.756344,48.735037,433], [18.756462,48.735049,433], [18.756457,48.734996,435], [18.756261,48.734976,434], [18.756036,48.734964,434], [18.755786,48.734955,432], [18.755569,48.734946,430], [18.755448,48.734962,429] ]]}"
Mostna 29,18.763242;48.740502;395-18.763347;48.740515;396-18.763516;48.740513;396-18.763465;48.740554;396-18.763328;48.740534;395-18.763237;48.740513;395,,54,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.763242,48.740502,395], [18.763347,48.740515,396], [18.763516,48.740513,396], [18.763465,48.740554,396], [18.763328,48.740534,395], [18.763237,48.740513,395] ]]}"
Morovnianska vencovisko 2,18.753875;48.734525;436-18.7538;48.734532;436-18.753623;48.734589;439-18.753489;48.734622;437-18.753283;48.734697;437-18.753154;48.734737;438-18.753028;48.734776;437-18.752869;48.734827;438-18.752706;48.734888;437-18.752564;48.734964;436-18.752456;48.735026;435-18.752306;48.7351;435-18.752089;48.735183;435-18.751941;48.735266;434-18.751842;48.735342;434-18.751786;48.735448;433-18.751762;48.735514;432-18.75174;48.735616;432-18.751673;48.735664;433-18.751585;48.735758;433-18.751539;48.73582;433-18.751512;48.735804;433-18.751558;48.735742;434-18.751649;48.73565;433-18.751713;48.735601;433-18.75173;48.735507;434-18.751754;48.735429;433-18.751813;48.735326;434-18.751923;48.735241;434-18.752078;48.735158;435-18.752304;48.735075;435-18.752454;48.735003;435-18.752556;48.734944;436-18.752692;48.734872;437-18.752869;48.734808;438-18.753063;48.734744;438-18.753277;48.734674;437-18.753489;48.734598;437-18.753639;48.734557;437-18.753819;48.734507;438-18.753899;48.734504;438,,572,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.753875,48.734525,436], [18.7538,48.734532,436], [18.753623,48.734589,439], [18.753489,48.734622,437], [18.753283,48.734697,437], [18.753154,48.734737,438], [18.753028,48.734776,437], [18.752869,48.734827,438], [18.752706,48.734888,437], [18.752564,48.734964,436], [18.752456,48.735026,435], [18.752306,48.7351,435], [18.752089,48.735183,435], [18.751941,48.735266,434], [18.751842,48.735342,434], [18.751786,48.735448,433], [18.751762,48.735514,432], [18.75174,48.735616,432], [18.751673,48.735664,433], [18.751585,48.735758,433], [18.751539,48.73582,433], [18.751512,48.735804,433], [18.751558,48.735742,434], [18.751649,48.73565,433], [18.751713,48.735601,433], [18.75173,48.735507,434], [18.751754,48.735429,433], [18.751813,48.735326,434], [18.751923,48.735241,434], [18.752078,48.735158,435], [18.752304,48.735075,435], [18.752454,48.735003,435], [18.752556,48.734944,436], [18.752692,48.734872,437], [18.752869,48.734808,438], [18.753063,48.734744,438], [18.753277,48.734674,437], [18.753489,48.734598,437], [18.753639,48.734557,437], [18.753819,48.734507,438], [18.753899,48.734504,438] ]]}"
Okruzna 33,18.751496;48.737394;424-18.751495;48.737411;424-18.751657;48.73742;424-18.751659;48.737416;424-18.751693;48.737416;424-18.751691;48.737421;424-18.751704;48.737421;424-18.751702;48.737449;424-18.751861;48.737456;424-18.751862;48.737451;424-18.751895;48.737453;424-18.751895;48.737458;424-18.752058;48.737465;424-18.752058;48.73746;424-18.752092;48.737462;424-18.75209;48.737467;424-18.752102;48.737467;424-18.752102;48.737495;424-18.75226;48.737502;424-18.752262;48.737489;424-18.752092;48.737449;424-18.751862;48.737438;424-18.751693;48.737403;424-18.751539;48.737395;424,,141,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.751496,48.737394,424], [18.751495,48.737411,424], [18.751657,48.73742,424], [18.751659,48.737416,424], [18.751693,48.737416,424], [18.751691,48.737421,424], [18.751704,48.737421,424], [18.751702,48.737449,424], [18.751861,48.737456,424], [18.751862,48.737451,424], [18.751895,48.737453,424], [18.751895,48.737458,424], [18.752058,48.737465,424], [18.752058,48.73746,424], [18.752092,48.737462,424], [18.75209,48.737467,424], [18.752102,48.737467,424], [18.752102,48.737495,424], [18.75226,48.737502,424], [18.752262,48.737489,424], [18.752092,48.737449,424], [18.751862,48.737438,424], [18.751693,48.737403,424], [18.751539,48.737395,424] ]]}"
Okruzna 6,18.755324;48.738606;418-18.755306;48.738418;419-18.755404;48.738388;418-18.755393;48.738335;418-18.75543;48.738319;418-18.755436;48.73837;418-18.755476;48.738367;418-18.755473;48.738307;418-18.755524;48.738296;418-18.755544;48.738286;418-18.755693;48.738239;418-18.755906;48.73814;418-18.756071;48.738202;419-18.756132;48.738236;419-18.756167;48.73827;419-18.755493;48.738317;418-18.755488;48.738332;418-18.755516;48.738332;419-18.75618;48.738286;420-18.756204;48.738276;420-18.756152;48.73823;419-18.756098;48.738199;419-18.756;48.738161;418-18.755928;48.738132;418-18.756011;48.738072;418-18.756049;48.738036;418-18.756094;48.737972;418-18.756109;48.737931;418-18.75644;48.737998;419-18.756459;48.738168;420-18.756396;48.73826;420-18.756369;48.738375;421-18.75635;48.738495;422-18.756332;48.73852;422-18.756235;48.738456;420-18.75625;48.738446;420-18.756231;48.738313;420-18.756207;48.738285;420-18.756185;48.738287;420-18.7562;48.738313;420-18.756218;48.73844;420-18.756189;48.738442;420-18.756167;48.738319;419-18.756081;48.738327;419-18.756075;48.738297;419-18.756051;48.7383;419-18.756054;48.738326;419-18.755902;48.738339;419-18.755896;48.738313;419-18.755872;48.738311;419-18.755876;48.738339;419-18.75572;48.738349;419-18.755719;48.738322;419-18.755692;48.738324;419-18.755699;48.738353;419-18.755543;48.738362;419-18.755543;48.738334;419-18.755515;48.738339;419-18.755522;48.738363;419-18.75543;48.738376;418-18.755451;48.738492;419-18.755522;48.738488;418-18.755527;48.738516;418-18.755426;48.738544;419-18.755362;48.738578;418,,2078,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.755324,48.738606,418], [18.755306,48.738418,419], [18.755404,48.738388,418], [18.755393,48.738335,418], [18.75543,48.738319,418], [18.755436,48.73837,418], [18.755476,48.738367,418], [18.755473,48.738307,418], [18.755524,48.738296,418], [18.755544,48.738286,418], [18.755693,48.738239,418], [18.755906,48.73814,418], [18.756071,48.738202,419], [18.756132,48.738236,419], [18.756167,48.73827,419], [18.755493,48.738317,418], [18.755488,48.738332,418], [18.755516,48.738332,419], [18.75618,48.738286,420], [18.756204,48.738276,420], [18.756152,48.73823,419], [18.756098,48.738199,419], [18.756,48.738161,418], [18.755928,48.738132,418], [18.756011,48.738072,418], [18.756049,48.738036,418], [18.756094,48.737972,418], [18.756109,48.737931,418], [18.75644,48.737998,419], [18.756459,48.738168,420], [18.756396,48.73826,420], [18.756369,48.738375,421], [18.75635,48.738495,422], [18.756332,48.73852,422], [18.756235,48.738456,420], [18.75625,48.738446,420], [18.756231,48.738313,420], [18.756207,48.738285,420], [18.756185,48.738287,420], [18.7562,48.738313,420], [18.756218,48.73844,420], [18.756189,48.738442,420], [18.756167,48.738319,419], [18.756081,48.738327,419], [18.756075,48.738297,419], [18.756051,48.7383,419], [18.756054,48.738326,419], [18.755902,48.738339,419], [18.755896,48.738313,419], [18.755872,48.738311,419], [18.755876,48.738339,419], [18.75572,48.738349,419], [18.755719,48.738322,419], [18.755692,48.738324,419], [18.755699,48.738353,419], [18.755543,48.738362,419], [18.755543,48.738334,419], [18.755515,48.738339,419], [18.755522,48.738363,419], [18.75543,48.738376,418], [18.755451,48.738492,419], [18.755522,48.738488,418], [18.755527,48.738516,418], [18.755426,48.738544,419], [18.755362,48.738578,418] ]]}"
Okruzna 4,18.755552;48.738515;418-18.755552;48.738486;419-18.756188;48.738442;420-18.756218;48.738439;420-18.756199;48.738477;420-18.756176;48.738486;420-18.756093;48.738489;419-18.756086;48.738453;419-18.756059;48.738454;419-18.756065;48.738491;419-18.755911;48.738483;419-18.755908;48.738466;419-18.755882;48.738469;419-18.755886;48.738485;419-18.755728;48.738498;419-18.755728;48.73848;419-18.755708;48.738481;419-18.755704;48.738498;418-18.755575;48.738514;418,,142,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.755552,48.738515,418], [18.755552,48.738486,419], [18.756188,48.738442,420], [18.756218,48.738439,420], [18.756199,48.738477,420], [18.756176,48.738486,420], [18.756093,48.738489,419], [18.756086,48.738453,419], [18.756059,48.738454,419], [18.756065,48.738491,419], [18.755911,48.738483,419], [18.755908,48.738466,419], [18.755882,48.738469,419], [18.755886,48.738485,419], [18.755728,48.738498,419], [18.755728,48.73848,419], [18.755708,48.738481,419], [18.755704,48.738498,418], [18.755575,48.738514,418] ]]}"
Okruzna 14,18.754419;48.738603;418-18.754422;48.738555;418-18.754462;48.738548;418-18.754473;48.738597;418-18.754604;48.73859;419-18.754607;48.738529;418-18.754687;48.73852;418-18.754714;48.738567;419-18.754832;48.738548;419-18.754811;48.738498;419-18.754883;48.738539;419-18.754968;48.738599;419-18.755061;48.738661;418-18.754903;48.738647;419-18.754573;48.738616;419-18.754438;48.738602;418,,327,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.754419,48.738603,418], [18.754422,48.738555,418], [18.754462,48.738548,418], [18.754473,48.738597,418], [18.754604,48.73859,419], [18.754607,48.738529,418], [18.754687,48.73852,418], [18.754714,48.738567,419], [18.754832,48.738548,419], [18.754811,48.738498,419], [18.754883,48.738539,419], [18.754968,48.738599,419], [18.755061,48.738661,418], [18.754903,48.738647,419], [18.754573,48.738616,419], [18.754438,48.738602,418] ]]}"
Okruzna 14 - 2,18.754391;48.738649;419-18.754399;48.738613;419-18.754988;48.738666;419-18.75498;48.738703;419-18.754829;48.73869;419-18.754836;48.738654;419-18.754813;48.738651;419-18.754804;48.738687;419-18.754647;48.738673;419-18.754654;48.738636;419-18.754633;48.738634;419-18.754626;48.73867;419-18.754471;48.738656;419-18.754479;48.73862;419-18.754455;48.738618;419-18.754447;48.738655;419-18.7544;48.738651;419,,161,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.754391,48.738649,419], [18.754399,48.738613,419], [18.754988,48.738666,419], [18.75498,48.738703,419], [18.754829,48.73869,419], [18.754836,48.738654,419], [18.754813,48.738651,419], [18.754804,48.738687,419], [18.754647,48.738673,419], [18.754654,48.738636,419], [18.754633,48.738634,419], [18.754626,48.73867,419], [18.754471,48.738656,419], [18.754479,48.73862,419], [18.754455,48.738618,419], [18.754447,48.738655,419], [18.7544,48.738651,419] ]]}"
Okruzna 16,18.755062;48.738836;419-18.755076;48.738853;419-18.755044;48.738849;419-18.754961;48.738843;418-18.754961;48.738825;418-18.754942;48.738824;418-18.754935;48.73884;418-18.754781;48.738827;418-18.754785;48.73881;419-18.754764;48.738808;419-18.754757;48.738825;418-18.754602;48.738818;419-18.754608;48.738794;419-18.754585;48.738792;419-18.754576;48.738817;419-18.754424;48.738842;419-18.754433;48.738778;419-18.754394;48.738775;419-18.754394;48.738847;419-18.7543;48.73887;419-18.754226;48.73889;419-18.754142;48.738909;419-18.754076;48.738912;419-18.754013;48.738913;419-18.753991;48.738886;419-18.754054;48.738772;419-18.754052;48.738768;419-18.754174;48.738549;418-18.754278;48.738551;418-18.754278;48.738571;418-18.754372;48.738572;418-18.754384;48.738578;418-18.754382;48.7386;418-18.754372;48.738598;418-18.754365;48.738647;419-18.754356;48.738649;419-18.754336;48.738769;419-18.755024;48.73883;419,,916,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.755062,48.738836,419], [18.755076,48.738853,419], [18.755044,48.738849,419], [18.754961,48.738843,418], [18.754961,48.738825,418], [18.754942,48.738824,418], [18.754935,48.73884,418], [18.754781,48.738827,418], [18.754785,48.73881,419], [18.754764,48.738808,419], [18.754757,48.738825,418], [18.754602,48.738818,419], [18.754608,48.738794,419], [18.754585,48.738792,419], [18.754576,48.738817,419], [18.754424,48.738842,419], [18.754433,48.738778,419], [18.754394,48.738775,419], [18.754394,48.738847,419], [18.7543,48.73887,419], [18.754226,48.73889,419], [18.754142,48.738909,419], [18.754076,48.738912,419], [18.754013,48.738913,419], [18.753991,48.738886,419], [18.754054,48.738772,419], [18.754052,48.738768,419], [18.754174,48.738549,418], [18.754278,48.738551,418], [18.754278,48.738571,418], [18.754372,48.738572,418], [18.754384,48.738578,418], [18.754382,48.7386,418], [18.754372,48.738598,418], [18.754365,48.738647,419], [18.754356,48.738649,419], [18.754336,48.738769,419], [18.755024,48.73883,419] ]]}"
Okruzna 16 - 2,18.755076;48.738874;419-18.755052;48.738943;419-18.754937;48.738966;419-18.754867;48.738993;419-18.754762;48.739001;420-18.754663;48.739;420-18.754559;48.738987;420-18.754441;48.738964;419-18.754365;48.73901;420-18.75428;48.738987;419-18.754183;48.738975;419-18.754076;48.738955;419-18.754026;48.738932;419-18.754058;48.738933;419-18.754138;48.738928;419-18.754282;48.738899;419-18.754484;48.738858;419-18.754585;48.738838;419-18.754757;48.738843;418-18.755024;48.738869;419-18.755059;48.73887;419,,904,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.755076,48.738874,419], [18.755052,48.738943,419], [18.754937,48.738966,419], [18.754867,48.738993,419], [18.754762,48.739001,420], [18.754663,48.739,420], [18.754559,48.738987,420], [18.754441,48.738964,419], [18.754365,48.73901,420], [18.75428,48.738987,419], [18.754183,48.738975,419], [18.754076,48.738955,419], [18.754026,48.738932,419], [18.754058,48.738933,419], [18.754138,48.738928,419], [18.754282,48.738899,419], [18.754484,48.738858,419], [18.754585,48.738838,419], [18.754757,48.738843,418], [18.755024,48.738869,419], [18.755059,48.73887,419] ]]}"
Okruzna 20,18.753634;48.738667;419-18.753657;48.738627;419-18.753735;48.738647;419-18.753714;48.738685;419-18.753737;48.738691;419-18.753759;48.738653;419-18.75395;48.738701;419-18.753929;48.738737;419-18.753952;48.738743;419-18.753972;48.738707;419-18.754031;48.738721;419-18.754009;48.73876;419-18.753741;48.738693;419-18.753676;48.738678;419-18.75364;48.738668;419,,122,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.753634,48.738667,419], [18.753657,48.738627,419], [18.753735,48.738647,419], [18.753714,48.738685,419], [18.753737,48.738691,419], [18.753759,48.738653,419], [18.75395,48.738701,419], [18.753929,48.738737,419], [18.753952,48.738743,419], [18.753972,48.738707,419], [18.754031,48.738721,419], [18.754009,48.73876,419], [18.753741,48.738693,419], [18.753676,48.738678,419], [18.75364,48.738668,419] ]]}"
Okruzna 24 - 1,18.753363;48.738473;419-18.753371;48.738479;419-18.753261;48.738579;419-18.753095;48.738504;419-18.753061;48.73853;419-18.753037;48.738522;419-18.753067;48.738492;419-18.752905;48.738418;419-18.752852;48.738463;420-18.752827;48.738454;420-18.752826;48.738456;420-18.753138;48.738557;419-18.753157;48.738562;419-18.753232;48.738595;419-18.753283;48.738625;419-18.753319;48.738646;419-18.753349;48.73863;419-18.753467;48.73843;417-18.753423;48.738411;417-18.753369;48.738464;417,,281,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.753363,48.738473,419], [18.753371,48.738479,419], [18.753261,48.738579,419], [18.753095,48.738504,419], [18.753061,48.73853,419], [18.753037,48.738522,419], [18.753067,48.738492,419], [18.752905,48.738418,419], [18.752852,48.738463,420], [18.752827,48.738454,420], [18.752826,48.738456,420], [18.753138,48.738557,419], [18.753157,48.738562,419], [18.753232,48.738595,419], [18.753283,48.738625,419], [18.753319,48.738646,419], [18.753349,48.73863,419], [18.753467,48.73843,417], [18.753423,48.738411,417], [18.753369,48.738464,417] ]]}"
Okruzna 53,18.75341;48.738138;415-18.753362;48.738172;415-18.753346;48.738239;415-18.753357;48.738276;415-18.75337;48.738285;416-18.753381;48.738271;415-18.753531;48.738331;416-18.753523;48.738347;416-18.753617;48.738387;416-18.753868;48.738438;418-18.753874;48.738393;416-18.753822;48.738389;416-18.753844;48.738265;415-18.753797;48.738254;415-18.753693;48.738222;415-18.753697;48.738215;415-18.753718;48.738222;415-18.753767;48.738156;414-18.753587;48.738185;415-18.753531;48.738188;415-18.753486;48.738181;415-18.753442;48.73816;415-18.753426;48.738141;415,,695,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.75341,48.738138,415], [18.753362,48.738172,415], [18.753346,48.738239,415], [18.753357,48.738276,415], [18.75337,48.738285,416], [18.753381,48.738271,415], [18.753531,48.738331,416], [18.753523,48.738347,416], [18.753617,48.738387,416], [18.753868,48.738438,418], [18.753874,48.738393,416], [18.753822,48.738389,416], [18.753844,48.738265,415], [18.753797,48.738254,415], [18.753693,48.738222,415], [18.753697,48.738215,415], [18.753718,48.738222,415], [18.753767,48.738156,414], [18.753587,48.738185,415], [18.753531,48.738188,415], [18.753486,48.738181,415], [18.753442,48.73816,415], [18.753426,48.738141,415] ]]}"
Okruzna 18,18.753506;48.73844;417-18.753482;48.738486;419-18.753656;48.738541;418-18.7539;48.738571;418-18.753916;48.738523;418-18.753927;48.738523;418-18.753927;48.738534;418-18.754072;48.738549;418-18.754077;48.738535;418-18.75412;48.738539;418-18.754042;48.738695;419-18.753867;48.738649;419-18.753861;48.738663;419-18.753644;48.738608;419-18.753614;48.738662;419-18.753608;48.73866;419-18.753543;48.738775;419-18.753557;48.738779;419-18.753555;48.738783;419-18.753587;48.73879;419-18.753587;48.738787;419-18.75377;48.738832;419-18.753769;48.738836;419-18.7538;48.738844;419-18.753802;48.73884;419-18.753991;48.738886;419-18.754013;48.738913;419-18.753808;48.738863;419-18.753794;48.738859;419-18.753799;48.738846;419-18.753769;48.738838;419-18.753763;48.738852;419-18.753577;48.738806;419-18.753583;48.738792;419-18.753555;48.738786;419-18.753548;48.738794;419-18.753461;48.738763;419-18.753435;48.738753;419-18.753365;48.738717;419-18.753368;48.738642;419-18.753486;48.738436;417,,929,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.753506,48.73844,417], [18.753482,48.738486,419], [18.753656,48.738541,418], [18.7539,48.738571,418], [18.753916,48.738523,418], [18.753927,48.738523,418], [18.753927,48.738534,418], [18.754072,48.738549,418], [18.754077,48.738535,418], [18.75412,48.738539,418], [18.754042,48.738695,419], [18.753867,48.738649,419], [18.753861,48.738663,419], [18.753644,48.738608,419], [18.753614,48.738662,419], [18.753608,48.73866,419], [18.753543,48.738775,419], [18.753557,48.738779,419], [18.753555,48.738783,419], [18.753587,48.73879,419], [18.753587,48.738787,419], [18.75377,48.738832,419], [18.753769,48.738836,419], [18.7538,48.738844,419], [18.753802,48.73884,419], [18.753991,48.738886,419], [18.754013,48.738913,419], [18.753808,48.738863,419], [18.753794,48.738859,419], [18.753799,48.738846,419], [18.753769,48.738838,419], [18.753763,48.738852,419], [18.753577,48.738806,419], [18.753583,48.738792,419], [18.753555,48.738786,419], [18.753548,48.738794,419], [18.753461,48.738763,419], [18.753435,48.738753,419], [18.753365,48.738717,419], [18.753368,48.738642,419], [18.753486,48.738436,417] ]]}"
Okruzna 24 - 2,18.752824;48.738454;420-18.752878;48.738406;419-18.752867;48.7384;419-18.752971;48.738298;418-18.753063;48.738341;417-18.753093;48.738317;417-18.753111;48.738327;417-18.753087;48.738353;417-18.753254;48.738428;417-18.75328;48.738405;417-18.7533;48.738414;417-18.753277;48.738436;417-18.753331;48.738461;417-18.753393;48.7384;417-18.75334;48.738377;417-18.753307;48.738408;417-18.753284;48.7384;417-18.753316;48.738368;416-18.753296;48.738362;416-18.753245;48.738416;417-18.75317;48.738386;417-18.753218;48.738342;416-18.75317;48.738324;417-18.753178;48.73831;416-18.75314;48.738296;417-18.753118;48.738322;417-18.753096;48.738313;417-18.753123;48.738285;417-18.753071;48.738262;416-18.753014;48.738315;418-18.752988;48.738301;418-18.753037;48.738248;417-18.752993;48.738255;417-18.752965;48.738266;418-18.752821;48.738354;419-18.752698;48.738407;419-18.752718;48.738416;419-18.752788;48.738441;420,,292,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.752824,48.738454,420], [18.752878,48.738406,419], [18.752867,48.7384,419], [18.752971,48.738298,418], [18.753063,48.738341,417], [18.753093,48.738317,417], [18.753111,48.738327,417], [18.753087,48.738353,417], [18.753254,48.738428,417], [18.75328,48.738405,417], [18.7533,48.738414,417], [18.753277,48.738436,417], [18.753331,48.738461,417], [18.753393,48.7384,417], [18.75334,48.738377,417], [18.753307,48.738408,417], [18.753284,48.7384,417], [18.753316,48.738368,416], [18.753296,48.738362,416], [18.753245,48.738416,417], [18.75317,48.738386,417], [18.753218,48.738342,416], [18.75317,48.738324,417], [18.753178,48.73831,416], [18.75314,48.738296,417], [18.753118,48.738322,417], [18.753096,48.738313,417], [18.753123,48.738285,417], [18.753071,48.738262,416], [18.753014,48.738315,418], [18.752988,48.738301,418], [18.753037,48.738248,417], [18.752993,48.738255,417], [18.752965,48.738266,418], [18.752821,48.738354,419], [18.752698,48.738407,419], [18.752718,48.738416,419], [18.752788,48.738441,420] ]]}"
Okruzna 51,18.753844;48.738264;415-18.753851;48.738264;415-18.753863;48.738206;414-18.753942;48.738211;414-18.754202;48.73823;414-18.754475;48.738252;414-18.754492;48.738253;414-18.75454;48.738242;414-18.754552;48.738213;415-18.754479;48.738066;412-18.754468;48.738067;412-18.754452;48.738035;412-18.754135;48.738092;413-18.753843;48.738144;414-18.753779;48.738241;415-18.7538;48.738246;415-18.753799;48.738252;415,,826,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.753844,48.738264,415], [18.753851,48.738264,415], [18.753863,48.738206,414], [18.753942,48.738211,414], [18.754202,48.73823,414], [18.754475,48.738252,414], [18.754492,48.738253,414], [18.75454,48.738242,414], [18.754552,48.738213,415], [18.754479,48.738066,412], [18.754468,48.738067,412], [18.754452,48.738035,412], [18.754135,48.738092,413], [18.753843,48.738144,414], [18.753779,48.738241,415], [18.7538,48.738246,415], [18.753799,48.738252,415] ]]}"
Okruzna 30,18.751914;48.737977;420-18.751977;48.737922;419-18.751983;48.737919;419-18.752041;48.73795;419-18.752082;48.737917;419-18.752012;48.737909;419-18.752002;48.737908;419-18.751977;48.737911;419-18.751947;48.737925;419-18.751896;48.737967;420-18.75186;48.738014;420-18.751904;48.73798;420,,35,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.751914,48.737977,420], [18.751977,48.737922,419], [18.751983,48.737919,419], [18.752041,48.73795,419], [18.752082,48.737917,419], [18.752012,48.737909,419], [18.752002,48.737908,419], [18.751977,48.737911,419], [18.751947,48.737925,419], [18.751896,48.737967,420], [18.75186,48.738014,420], [18.751904,48.73798,420] ]]}"
Okruzna 28 - 1,18.752132;48.737934;419-18.752173;48.737957;419-18.752208;48.73793;419-18.75223;48.737941;419-18.752196;48.737968;419-18.752276;48.738011;418-18.752309;48.737984;418-18.752374;48.738018;418-18.752344;48.738045;418-18.752354;48.738051;419-18.752386;48.738025;418-18.752405;48.738035;418-18.752374;48.738061;419-18.752423;48.738087;418-18.752453;48.73806;418-18.752515;48.738094;418-18.752483;48.73812;418-18.752532;48.738145;418-18.752564;48.73812;418-18.752584;48.73813;418-18.752552;48.738155;418-18.752561;48.738161;418-18.752595;48.738135;418-18.75256;48.738117;418-18.75252;48.738095;418-18.752451;48.738058;418-18.752411;48.738036;418-18.752305;48.73798;418-18.752235;48.737942;419-18.752189;48.737918;419-18.75215;48.737914;419,,91,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.752132,48.737934,419], [18.752173,48.737957,419], [18.752208,48.73793,419], [18.75223,48.737941,419], [18.752196,48.737968,419], [18.752276,48.738011,418], [18.752309,48.737984,418], [18.752374,48.738018,418], [18.752344,48.738045,418], [18.752354,48.738051,419], [18.752386,48.738025,418], [18.752405,48.738035,418], [18.752374,48.738061,419], [18.752423,48.738087,418], [18.752453,48.73806,418], [18.752515,48.738094,418], [18.752483,48.73812,418], [18.752532,48.738145,418], [18.752564,48.73812,418], [18.752584,48.73813,418], [18.752552,48.738155,418], [18.752561,48.738161,418], [18.752595,48.738135,418], [18.75256,48.738117,418], [18.75252,48.738095,418], [18.752451,48.738058,418], [18.752411,48.738036,418], [18.752305,48.73798,418], [18.752235,48.737942,419], [18.752189,48.737918,419], [18.75215,48.737914,419] ]]}"
